"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
79,"NCT05500820","Study With CIN-107 Following Multiple Oral Ascending Doses in Healthy Subjects",,"Completed","No Results Available","Hypertension","Drug: CIN-107|Drug: Matching Placebo","Maximum plasma concentration (Cmax)|Time to maximum plasma concentration (Tmax)|Area under the curve from time 0 to the time of last quantifiable plasma concentration (AUC[0-last])|Area under the curve from time 0 to infinity|Area under the curve over a dosing interval (tau)|Area under the plasma concentration-time curve (AUC) from time 0 to 24 hours|Percent of AUC extrapolated|Terminal phase elimination half-life|Apparent plasma clearance|Apparent volume of distribution|The cumulative amount of CIN-107 and CIN-107-M excreted in the urine (Ae)|Renal clearance (CLR Calculated as Ae/AUC) of CIN-107 and CIN-107-M|Fraction of the dose excreted renally (fe)|Number of patients experiencing adverse events (AEs)|Number of patients experiencing adverse drug reactions|Number of patients experiencing serious adverse events (SAEs)|Plasma concentration of aldosterone|Plasma renin activity|Plasma concentration of cortisol (free and total)|Plasma concentration of ACTH (Adrenocorticotropic hormone)","CinCor Pharma, Inc.","All","18 Years to 55 Years   (Adult)","Phase 1","56","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CIN-107-111","December 19, 2019","April 3, 2020","April 3, 2020","August 15, 2022",,"August 15, 2022","Medpace Clinical Pharmacology Unit, Cincinnati, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT05500820"
80,"NCT05500807","Emicizumab for Severe Von Willebrand Disease (VWD) and VWD/Hemophilia A","BCDI-XII","Not yet recruiting","No Results Available","Von Willebrand Disease, Type 3|Concomitant VWD and Hemophilia","Drug: Emicizumab","Emicizumab is efficacious for prophylaxis in severe VWD & concomitant VWD/hemophilia A|Emicizumab is safe for prophylaxis in severe VWD & concomitant VWD/Hemophilia A|Reduced treatment burdent vs VWF/FVIII prophylaxis|Decreased bleed occurrence|Diminish bleed severity","Bleeding and Clotting Disorders Institute Peoria, Illinois|Genentech, Inc.","All","2 Years to 90 Years   (Child, Adult, Older Adult)","Phase 1","40","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BCDI-XII","November 2022","November 2025","March 2026","August 15, 2022",,"August 15, 2022","Bleeding and Clotting Disorders Institute, Peoria, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT05500807"
81,"NCT05500794","Meditation in Inflammatory Dermatosis","MediDermIn","Not yet recruiting","No Results Available","Atopic Dermatitis|Psoriasis|Pruritus","Other: MBSR (Mindfulness-Based Stress Reduction)","Pruritus assessed by Visual Analogue Scale (VAS)|Pruritus assessed by 5-D Itch Scale 5-D (5-D IQ)|Number of dermatocorticoides tubes|Number of scratches per day (including nights)|Psorasis Area and severity index (PASI Index) for psoriasis group|SCORAD Index for atopic dermatitis|Stress evaluation assessed by Perceived Stress Scale|Quantification of inflammatory stress markers in saliva|Quantification of inflammatory stress markers in serum","Assistance Publique - Hôpitaux de Paris","All","18 Days and older   (Child, Adult, Older Adult)","Not Applicable","72","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","APHP211191","September 2022","March 2023","May 2023","August 15, 2022",,"August 15, 2022","Hôpital Saint-Louis, Paris, France",,"https://ClinicalTrials.gov/show/NCT05500794"
82,"NCT05500781","Online Program for Coaching Girls: Coaching HER",,"Recruiting","No Results Available","Intervention|Waitlist Control","Behavioral: Coaching HER","Change in coaches' self-efficacy in tackling gender stereotypes|Change in coaches' self-efficacy in tackling gender essentialist beliefs|Total feasibility, acceptability, and adherence of the intervention (assessed via a self-report questionnaire)","University of Minnesota|Dove Self-Esteem Project, Unilever|Nike|Laureus|University of West England","All","18 Years and older   (Adult, Older Adult)","Not Applicable","158","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Prevention","STUDY00015642","May 1, 2022","August 2022","August 2022","August 15, 2022",,"August 15, 2022","University of Minnesota, Minneapolis, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT05500781"
83,"NCT05500768","Efficacy of the hYpothermic Compression Bandage in the Surgical Wound of Cardiac Devices","EYRA","Completed","No Results Available","Pocket Hematoma","Procedure: hypothermic compression bandage|Procedure: Conventional compression bandage","Appearance of hematoma|Appearance of severe hematoma","Hospital Clinic of Barcelona","All","18 Years and older   (Adult, Older Adult)","Not Applicable","310","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","EYRA trial","May 1, 2018","May 31, 2019","July 31, 2022","August 15, 2022",,"August 15, 2022","Hospital Clínic, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT05500768"
84,"NCT05500755","Clinical and Radiographic Evaluation of Dentsply Sirona PrimeTaper Implants",,"Recruiting","No Results Available","Dental Implants","Device: Implant Treatment","Implant Survival Rate|Implant Success Rate|Biological and mechanical complications events","Aula Dental Avanzada","All","18 Years to 99 Years   (Adult, Older Adult)",,"150","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","DSPT","July 26, 2022","September 1, 2025","September 2, 2025","August 15, 2022",,"August 15, 2022","Clínica Dental esteve, Alicante, Spain",,"https://ClinicalTrials.gov/show/NCT05500755"
85,"NCT05500742","Anti-age Dietary Supplements in Healthy Older Adults: the proBNPage Reduction Randomized Trial","PBAR","Not yet recruiting","No Results Available","Aging","Dietary Supplement: Coenzyme Q10|Dietary Supplement: Selenium|Dietary Supplement: Resveratrol|Dietary Supplement: TA-65 MD|Other: Placebo-1|Other: Placebo-2","Change from baseline ProBNPage at 6 months|Change from baseline ProBNPage at 12 months|Change from baseline ProBNPage at 18 months|Change from baseline ProBNPage at 24 months|Handgrip strength change|Step test change|Euro QoL 5 dimension change","IRCCS Azienda Ospedaliero-Universitaria di Bologna|University of Bologna|Azienda Usl di Bologna","All","65 Years to 80 Years   (Older Adult)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","PBAR-2022","August 2022","November 2024","November 2024","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05500742"
86,"NCT05500729","Hamstring/Quadriceps Ratio in CrossFit","HQCROSS","Not yet recruiting","No Results Available","Healthy Volunteers","Other: Hamstrings maximal voluntary isometric contraction.|Other: Quadriceps maximal voluntary isometric contraction","Hamstrings maximal voluntary isometric contraction|Quadriceps maximal voluntary isometric contraction.|Hamstring / Quadriceps Ratio","Camila Velo Etcheverry|Maimonides University","All","20 Years to 40 Years   (Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","5738","August 22, 2022","November 1, 2022","December 20, 2022","August 15, 2022",,"August 15, 2022","Maimonides University, Ciudad Autonoma de Buenos Aires, Caba, Argentina",,"https://ClinicalTrials.gov/show/NCT05500729"
87,"NCT05500716","The Effect of Vagus Nerve Stimulation on Temporomandibular Joint Dysfunction",,"Not yet recruiting","No Results Available","Temporomandibular Joint Dysfunction Syndrome|Autonomic Nervous System Imbalance","Other: Auricular Non-Invazive Vagus Nerve Stimulation + Traditional Rehabilitation Program for TMD","Heart Rate Variability|Pain and Trigger Points|Range of motion|Perceived Stress scale|Neck Disability Index","Alper Percin|Bahçeşehir University","Female","18 Years to 45 Years   (Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","STUDYAP0001","August 15, 2022","June 15, 2023","June 30, 2023","August 15, 2022",,"August 15, 2022","Bahçeşehir University, Istanbul, Beşiktaş, Turkey",,"https://ClinicalTrials.gov/show/NCT05500716"
88,"NCT05500703","Brain Regions and Functional Neuronal Network Characteristics of Dexmedetomidine Analgesia",,"Not yet recruiting","No Results Available","Epilepsy|Radiofrequency Ablation","Drug: Dexmedetomidine Injectable Solution|Drug: Sodium Chloride 0.9% Inj","Measurement of analgesia relative brain regions assessed by T1-MPRAGE, T2-SPACE, and BOLD under fMRI scanning|systolic blood pressure (SBP),|diastolic blood pressure (DBP)|mean arterial pressure (MAP),|heart rate (HR)","China International Neuroscience Institution","All","20 Years to 50 Years   (Adult)","Phase 4","12","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Health Services Research","CINI-AD-20220706","August 15, 2022","September 15, 2022","September 20, 2022","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05500703"
89,"NCT05500690","Understanding Effects of Folic Acid on the Methylosome and Transcriptome of Women With Spina Bifida Affected Pregnancies",,"Not yet recruiting","No Results Available","Pregnancy; Spina Bifida, Fetal|Environmental Exposure","Dietary Supplement: Folic Acid Tablet","Changes in DNA Methylation patterns|Changes in serum folate concentration","Boston Children's Hospital|National Institute of Neurosciences and Hospital, Dhaka","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","IRB-P00043006","January 2023","December 2024","November 2025","August 15, 2022",,"August 15, 2022","National Institute of Neurosciences and Hospital, Dhaka, Bangladesh",,"https://ClinicalTrials.gov/show/NCT05500690"
90,"NCT05500677","Lidocaine Spray for Pain Control in Rib Fractures",,"Completed","No Results Available","Rib Fractures|Analgesia","Drug: Lidocaine topical","Pain control","Ankara City Hospital Bilkent","All","18 Years and older   (Adult, Older Adult)","Phase 4","48","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment",,"June 1, 2021","November 30, 2021","November 30, 2021","August 15, 2022",,"August 15, 2022","Ankara City Hospital, Ankara, Turkey",,"https://ClinicalTrials.gov/show/NCT05500677"
91,"NCT05500664","The Effect of Aromatherapy on Anxiety in Patients",,"Completed","No Results Available","Anxiety|Pain","Drug: Lavender Oil","change of Speilberger State-Trait Anxiety Inventory|change of Pain visual analog scale","Assiut University","All","40 Years to 70 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","IRB00202205","January 20, 2022","May 30, 2022","June 30, 2022","August 15, 2022",,"August 15, 2022","Emad Zarief Kamel Said, Assiut, Egypt",,"https://ClinicalTrials.gov/show/NCT05500664"
92,"NCT05500651","Dance and Movement Therapy in Patients With Schizophrenia","DMTinSchizo","Not yet recruiting","No Results Available","Schizophrenia|Negative Symptoms in Schizophrenia|Disabilities Mental|Dance Therapy","Other: Dance and Movement Therapy (DMT)","The Scale for the Assessment of Negative Symptoms (SANS)|Disability Evaluation Schedule (WHO-DAS-II)","Amasya University","All","Child, Adult, Older Adult","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","AmasyaU8","September 2022","September 2022","February 2023","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05500651"
93,"NCT05500638","Effect of VR-ESMEPP on Parents' Seizure Management","VR-ESMEPP","Completed","No Results Available","Virtual Reality|Epilepsy|Seizure|Child|Nurse|Parents","Behavioral: Virtual Reality","Effects on knowledge about epilepsy change|Effects on skill about epileptic seizure time|Effects on motivation change","Akdeniz University","All","Child, Adult, Older Adult","Not Applicable","91","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","2012-KAEK-20-730","August 6, 2018","August 16, 2019","February 7, 2020","August 15, 2022",,"August 15, 2022","Aysegul ISLER DALGIC, Antalya, Konyaaltı, Turkey",,"https://ClinicalTrials.gov/show/NCT05500638"
94,"NCT05500625","Endoscopic Ultrasound-guided Coil With Cyanoacrylate Injection Versus Balloon-Occluded Retrograde Transvenous Obliteration in Managing Patients With Gastric Varices",,"Not yet recruiting","No Results Available","Gastric Varix","Procedure: Endoscopic ultrasound-guided coil embolization combined with endoscopic cyanoacrylate injection|Procedure: Ballon-occluded retrograde transvenous obliteration","Gastric varices bleeding control|Time of procedure","Assiut University","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","70","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EUSCCIBRTOMPGV","August 30, 2022","August 30, 2024","January 30, 2025","August 15, 2022",,"August 15, 2022",,,"https://ClinicalTrials.gov/show/NCT05500625"
95,"NCT05500612","MRI Hypoxia Study for GBM Radiation Therapy","MANGO","Not yet recruiting","No Results Available","Glioblastoma Multiforme",,"Determination of spatial correlation of hypoxic tumour volume between MRI and 18F-FMISO|Repeatability of voxel-wise levels of hypoxia in the tumour|The predicted patient outcomes of the biologically-adapted Radiotherapy (RT) plan will be compared with the actual patient outcomes|Correlation between the percentage of hypoxic tumour volume and clinical outcome|Correlation between the percentage change of hypoxic tumour volume during treatment and clinical outcome","University of Sydney|The Brain Cancer Group","All","18 Years and older   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","ETH11794","August 2022","August 2024","August 2025","August 15, 2022",,"August 15, 2022","North Shore Private Hospital, St Leonards, New South Wales, Australia|Royal North Shore Hospital, St Leonards, New South Wales, Australia",,"https://ClinicalTrials.gov/show/NCT05500612"
